,0
2732,60633
2733,60633
2734,60633
2735,60633
2736,60633
2737,60633
2738,60633
2739,60633
2740,60633
2741,60633
2742,60633
2743,60633
2744,60633
2745,60633
2746,60633
2747,60633
2748,60633
2749,60633
2750,60633
2751,60633
2752,60633
2753,60633
2754,60633
2755,60633
2756,60633
2757,60617
2758,60617
2759,60617
2760,60617
2761,60617
2762,60617
2763,60617
2764,60617
2765,60617
2766,60617
2767,60617
2768,60617
2769,60617
2770,60617
2771,60617
2772,60617
2773,60617
2774,60617
2775,60617
2776,60617
2777,60617
2778,60617
2793,60617
2794,60617
2804,60619
2805,60619
2926,60643
2927,60643
2960,60633
2961,60633
2962,60633
2963,60633
2964,60633
2965,60633
2966,60633
2967,60633
2968,60633
2969,60633
2970,60633
2971,60633
2972,60633
2973,60633
2974,60633
2975,60633
2976,60633
2977,60633
2978,60633
2979,60633
2980,60633
2981,60633
2982,60633
2983,60633
2984,60633
2985,60633
2986,60633
2987,60633
2988,60633
2989,60633
2990,60633
2991,60633
2992,60633
2993,60617
2994,60617
2995,60617
2996,60617
3002,60619
3003,60619
3008,60608
3009,60633
3010,60633
3011,60633
3012,60633
3013,60633
3014,60633
3015,60633
3016,60633
3017,60633
3018,60633
3019,60633
3020,60633
3021,60633
3022,60633
3023,60633
3024,60633
3025,60633
3026,60633
3027,60633
3028,60633
3029,60633
3030,60633
3031,60617
3032,60617
3033,60617
3034,60617
3035,60617
3036,60617
3037,60617
3038,60617
3039,60617
3040,60617
3041,60617
3042,60617
3043,60617
3044,60617
3045,60617
3084,60643
3117,60646
3118,60646
3160,60633
3161,60633
3162,60633
3163,60633
3164,60617
3165,60617
3166,60617
3167,60617
3168,60617
3169,60617
3170,60617
3171,60617
3179,60617
3186,60619
3187,60619
3231,60604
3232,60604
3258,60646
3259,60646
3260,60646
3297,60643
3304,60604
3350,60633
3351,60633
3352,60633
3353,60633
3354,60633
3355,60633
3356,60633
3357,60633
3358,60633
3359,60633
3360,60633
3361,60633
3362,60633
3363,60633
3364,60633
3365,60633
3366,60633
3367,60633
3368,60633
3369,60633
3370,60633
3371,60633
3372,60633
3373,60633
3374,60633
3375,60633
3376,60633
3377,60633
3378,60633
3379,60633
3380,60617
3381,60617
3382,60617
3383,60617
3384,60617
3385,60617
3386,60617
3394,60617
3402,60619
3408,60608
3452,60643
3453,60643
3460,60604
3461,60604
3501,60646
3502,60646
3545,60633
3546,60633
3547,60633
3548,60633
3549,60633
3550,60633
3551,60633
3552,60633
3553,60633
3554,60633
3555,60633
3556,60633
3557,60633
3558,60617
3559,60617
3560,60617
3561,60617
3567,60619
3568,60619
3576,60608
3577,60633
3578,60633
3579,60633
3580,60633
3581,60617
3582,60617
3583,60617
3584,60617
3585,60617
3586,60617
3587,60617
3588,60617
3650,60643
3659,60604
3708,60646
3709,60646
3778,60619
3779,60619
3784,60608
3785,60633
3786,60633
3787,60633
3788,60633
3789,60633
3790,60617
3791,60617
3792,60617
3793,60617
3794,60617
3795,60617
3796,60617
3804,60617
3805,60617
3824,60643
3855,60633
3856,60633
3857,60633
3858,60617
3859,60617
3860,60617
3864,60619
3891,60643
3892,60643
3893,60643
3952,60633
3953,60633
3954,60633
3959,60619
4000,60643
4042,60633
4047,60619
4048,60619
4088,60643
4145,60619
4151,60633
4152,60633
4153,60633
4154,60617
4155,60617
4162,60619
4210,60643
4215,60604
4260,60633
4261,60633
4262,60617
4263,60617
4264,60617
4265,60617
4357,60643
4362,60604
4363,60604
4409,60633
4410,60633
4411,60633
4417,60617
4422,60619
4477,60643
4483,60604
4533,60633
4534,60633
4535,60633
4536,60617
4537,60617
4538,60617
4539,60617
4546,60619
4661,60643
4662,60643
4663,60643
4664,60643
4683,60633
4684,60633
4685,60633
4686,60633
4687,60633
4688,60633
4689,60633
4690,60617
4691,60617
4692,60617
4693,60617
4694,60617
4695,60617
4696,60617
4701,60619
4702,60619
4703,60619
4764,60643
4772,60604
4836,60633
4837,60617
4838,60617
4839,60617
4840,60617
4850,60619
4851,60619
4852,60619
4887,60619
4923,60604
4979,60636
4980,60636
4987,60643
4988,60643
5011,60633
5012,60633
5013,60633
5014,60633
5015,60617
5016,60617
5017,60617
5025,60619
5026,60619
5027,60619
5061,60619
5062,60619
5063,60619
5092,60643
5145,60633
5146,60633
5147,60633
5148,60617
5149,60617
5150,60617
5151,60617
5152,60617
5159,60619
5160,60619
5161,60619
5197,60619
5198,60619
5199,60619
5201,60636
5202,60636
5234,60643
5286,60633
5287,60633
5288,60617
5289,60617
5298,60619
5299,60619
5326,60619
5327,60636
5328,60636
5329,60636
5330,60620
5331,60620
5332,60620
5351,60643
5400,60633
5401,60633
5402,60617
5403,60617
5404,60617
5405,60617
5406,60617
5412,60619
5413,60619
5459,60643
5480,60633
5481,60617
5482,60617
5483,60617
5486,60619
5519,60620
5552,60633
5553,60633
5554,60617
5555,60617
5556,60617
5590,60604
5591,60604
5610,60617
5611,60617
5612,60617
5613,60617
5614,60617
5697,60633
5698,60633
5699,60633
5700,60617
5701,60617
5702,60617
5703,60617
5704,60617
5711,60619
5712,60619
5737,60619
5739,60620
5767,60643
5772,60604
5825,60617
5826,60617
5827,60617
5828,60617
5829,60617
5837,60619
5838,60619
5839,60619
5860,60619
5861,60619
5862,60619
5865,60620
5947,60633
5948,60633
5949,60633
5950,60617
5951,60617
5952,60617
5953,60617
5957,60619
5988,60619
5989,60619
5991,60620
6032,60633
6033,60617
6034,60617
6035,60617
6036,60617
6037,60617
6041,60619
6042,60619
6043,60619
6057,60620
6090,60633
6140,60604
6180,60633
6181,60633
6182,60633
6183,60617
6184,60617
6185,60617
6220,60636
6243,60643
6244,60643
6246,60604
6247,60604
6291,60633
6292,60633
6293,60617
6294,60617
6295,60617
6311,60619
6313,60636
6314,60636
6338,60643
6339,60643
6348,60604
6390,60633
6391,60633
6392,60633
6393,60633
6394,60617
6431,60619
6432,60619
6435,60636
6436,60636
6465,60643
6471,60604
6472,60604
6519,60633
6520,60633
6521,60633
6522,60617
6523,60617
6524,60617
6525,60617
6526,60617
6527,60617
6535,60619
6536,60619
6571,60619
6574,60636
6575,60636
6576,60636
6610,60643
6616,60604
6686,60633
6687,60633
6688,60633
6689,60633
6690,60633
6691,60633
6692,60633
6693,60633
6694,60633
6695,60617
6696,60617
6697,60617
6698,60617
6699,60617
6700,60617
6709,60619
6710,60619
6746,60619
6747,60619
6750,60636
6751,60636
6752,60636
6784,60643
6791,60604
6792,60604
6864,60633
6865,60633
6866,60633
6867,60617
6868,60617
6869,60617
6870,60617
6880,60619
6881,60619
6882,60619
6925,60619
6926,60619
6929,60636
6930,60636
6931,60636
6965,60643
6971,60604
7026,60617
7027,60617
7033,60619
7069,60636
7070,60636
7071,60636
7072,60636
7098,60643
7099,60643
7100,60643
7101,60643
7107,60604
7108,60604
7164,60633
7165,60617
7166,60617
7167,60617
7177,60619
7178,60619
7209,60619
7210,60619
7212,60636
7213,60636
7214,60636
7239,60643
7240,60643
7244,60604
7287,60633
7288,60633
7289,60633
7290,60633
7291,60617
7292,60617
7293,60617
7294,60617
7295,60617
7296,60617
7304,60619
7333,60619
7334,60619
7336,60636
7337,60636
7338,60636
7362,60643
7366,60604
7414,60633
7415,60633
7416,60633
7417,60617
7418,60617
7424,60619
7453,60636
7454,60636
7455,60636
7485,60643
7492,60604
7493,60604
7535,60633
7536,60617
7537,60617
7538,60617
7560,60619
7561,60636
7562,60636
7584,60604
7585,60604
7629,60636
7649,60633
7650,60633
7651,60633
7652,60617
7653,60617
7659,60619
7660,60619
7683,60619
7684,60636
7685,60636
7706,60643
7712,60604
7713,60604
7769,60617
7770,60617
7771,60617
7772,60617
7773,60617
7774,60617
7775,60617
7781,60619
7804,60619
7806,60636
7844,60604
7890,60633
7891,60633
7892,60617
7893,60617
7894,60617
7895,60617
7896,60617
7925,60619
7926,60619
7927,60636
7928,60636
7961,60643
7965,60604
8007,60633
8008,60633
8009,60617
8014,60619
8015,60619
8016,60619
8037,60619
8038,60619
8039,60636
8040,60636
8061,60604
8085,60633
8086,60617
8087,60617
8089,60619
8108,60619
8122,60643
8123,60643
8126,60604
8153,60633
8154,60617
8160,60619
8178,60619
8179,60619
8181,60636
8182,60636
8213,60643
8217,60604
8218,60604
8258,60633
8259,60633
8260,60617
8261,60617
8268,60619
8269,60619
8297,60619
8298,60619
8329,60643
8330,60643
8334,60604
8377,60633
8378,60633
8385,60619
8386,60619
8408,60619
8409,60619
8410,60619
8412,60636
8413,60636
8493,60643
8494,60643
8518,60633
8519,60633
8520,60633
8527,60619
8528,60619
8541,60619
8542,60619
8543,60619
8544,60636
8545,60636
8568,60643
8572,60604
8616,60633
8617,60633
8618,60617
8619,60617
8620,60617
8628,60619
8651,60619
8652,60619
8653,60619
8656,60636
8657,60636
8699,60643
8700,60643
8773,60633
8774,60633
8775,60633
8776,60633
8777,60633
8778,60633
8779,60633
8780,60617
8781,60617
8794,60619
8795,60619
8796,60619
8823,60619
8824,60619
8825,60619
8826,60619
8827,60619
8828,60619
8831,60636
8832,60636
8874,60643
8875,60643
8880,60604
8881,60604
8948,60633
8949,60633
8950,60633
8951,60617
8952,60617
8962,60619
8963,60619
9001,60619
9002,60619
9003,60619
9006,60636
9007,60636
9008,60636
9009,60636
9010,60636
9057,60643
9058,60643
9063,60604
9119,60633
9120,60633
9121,60633
9122,60617
9130,60619
9168,60619
9169,60619
9172,60636
9173,60636
9209,60643
9210,60643
9217,60604
9218,60604
9285,60633
9286,60633
9287,60617
9297,60619
9298,60619
9340,60619
9341,60619
9342,60619
9346,60636
9347,60636
9348,60636
9399,60643
9400,60643
9407,60604
9483,60633
9484,60633
9485,60633
9486,60633
9487,60617
9488,60617
9499,60619
9500,60619
9527,60619
9528,60619
9529,60619
9532,60636
9533,60636
9534,60636
9580,60643
9581,60643
9582,60643
9587,60604
9588,60604
9647,60633
9648,60617
9655,60619
9684,60619
9685,60619
9686,60619
9690,60636
9739,60643
9746,60604
9809,60633
9810,60633
9811,60633
9812,60617
9813,60617
9814,60617
9822,60619
9823,60619
9853,60619
9854,60619
9855,60619
9898,60643
9899,60643
9907,60604
9952,60633
9953,60633
9954,60617
9955,60617
9963,60619
10000,60619
10003,60636
10045,60643
10049,60604
10050,60604
10103,60633
10104,60617
10110,60619
10111,60619
10112,60619
10141,60619
10142,60619
10145,60636
10146,60636
10147,60636
10187,60643
10188,60643
10191,60604
10239,60633
10240,60633
10241,60633
10242,60633
10243,60633
10244,60617
10249,60619
10250,60619
10277,60619
10280,60636
10281,60636
10322,60643
10326,60604
10368,60633
10369,60633
10370,60617
10378,60619
10379,60619
10398,60619
10399,60619
10401,60636
10402,60636
10429,60643
10433,60604
10464,60633
10465,60633
10466,60617
10467,60617
10476,60619
10477,60619
10478,60619
10494,60619
10495,60619
10497,60636
